"id","vessel_code","form_fm","form_date","no_form1a","no_pkk","bentuk_3a","start_date","end_date","createdAt","updatedAt","correction","split_to","no_invoice"
492,MM30X,FM/01/01/01/74,2022-10-24 11:28:52.000,"202213000081",MM3013000001,"070.202202001197-FS",2022-09-19 18:00:00.000,2022-09-22 08:59:00.000,2022-10-24 11:28:52.342 +0700,2022-10-24 11:28:52.342 +0700,N,,
494,AJ43X,FM/01/01/01/74,2022-10-24 11:28:57.000,"202213000079",AJ4313000002,"070.202202001199-FS",2022-09-18 23:53:00.000,2022-09-22 11:54:00.000,2022-10-24 11:28:57.786 +0700,2022-10-24 11:28:57.786 +0700,N,,
495,MB44X,FM/01/01/01/74,2022-10-24 11:28:59.000,"202213000083",MB4413000002,"070.202202001200-FS",2022-09-18 08:00:00.000,2022-09-22 10:22:00.000,2022-10-24 11:28:59.646 +0700,2022-10-24 11:28:59.646 +0700,N,,
496,DKI1,FM/01/01/01/74,2022-10-24 11:29:01.000,"202213000052",DKI113000007,"070.202202001201-FS",2022-09-16 09:00:00.000,2022-09-16 19:00:00.000,2022-10-24 11:29:01.818 +0700,2022-10-24 11:29:01.818 +0700,N,,
497,DRV0X,FM/01/01/01/74,2022-10-24 11:29:03.000,"202213000053",DRV013000003,"070.202202001202-FS",2022-09-16 08:00:00.000,2022-09-16 16:00:00.000,2022-10-24 11:29:03.751 +0700,2022-10-24 11:29:03.751 +0700,N,,
498,MDF9X,FM/01/01/01/74,2022-10-24 11:29:10.000,"202213000111",MDF913000002,"070.202202001203-FS",2022-09-23 09:33:00.000,2022-09-26 09:33:00.000,2022-10-24 11:29:10.710 +0700,2022-10-24 11:29:10.710 +0700,N,,
499,DRI0,FM/01/01/01/74,2022-10-24 11:30:53.000,"202213000284",DRI013000009,"070.202202001204-FS",2022-10-17 08:00:00.000,2022-10-17 15:00:00.000,2022-10-24 11:30:53.419 +0700,2022-10-24 11:30:53.419 +0700,N,,
512,TERT,FM/01/01/01/74,2022-10-26 09:57:02.000,"202213000018",TERT13000001,"070.202202001205-FS",2022-09-10 10:00:00.000,2022-09-13 09:00:00.000,2022-10-26 09:57:02.792 +0700,2022-10-26 09:57:02.792 +0700,N,,
513,MB33X,FM/01/01/01/74,2022-10-27 08:36:17.000,"202213000034",MB3313000001,"070.202202001206-FS",2022-09-12 11:00:00.000,2022-09-14 09:00:00.000,2022-10-27 08:36:17.947 +0700,2022-10-27 08:36:17.947 +0700,N,,
514,DKI1,FM/01/01/01/74,2022-10-27 08:50:59.000,"202213000028",DKI113000004,"070.202202001207-FS",2022-09-11 06:00:00.000,2022-09-11 23:00:00.000,2022-10-27 08:50:59.219 +0700,2022-10-27 08:50:59.219 +0700,N,,
515,KI88X,FM/01/01/01/74,2022-10-27 08:53:32.000,"202213000027",KI8813000002,"070.202202001208-FS",2022-09-11 07:00:00.000,2022-09-11 23:00:00.000,2022-10-27 08:53:32.945 +0700,2022-10-27 08:53:32.945 +0700,N,,"070.12204.22.00001605R3"
516,DFV0X,FM/01/01/01/74,2022-10-27 08:55:47.000,"202213000030",DFV013000002,"070.202202001209-FS",2022-09-12 05:00:00.000,2022-09-12 23:00:00.000,2022-10-27 08:55:47.187 +0700,2022-10-27 08:55:47.187 +0700,N,,
517,DKI0X,FM/01/01/01/74,2022-10-27 08:57:27.000,"202213000032",DKI013000002,"070.202202001210-FS",2022-09-13 05:00:00.000,2022-09-13 23:00:00.000,2022-10-27 08:57:27.943 +0700,2022-10-27 08:57:27.943 +0700,N,,"070.12204.22.00001606R3"
518,MDO9X,FM/01/01/01/74,2022-10-27 09:00:13.000,"202213000049",MDO913000001,"070.202202001211-FS",2022-09-13 22:49:00.000,2022-09-17 22:33:00.000,2022-10-27 09:00:13.791 +0700,2022-10-27 09:00:13.791 +0700,N,,
519,MK44X,FM/01/01/01/74,2022-10-27 09:00:47.000,"202213000046",MK4413000001,"070.202202001212-FS",2022-09-14 09:00:00.000,2022-09-17 09:00:00.000,2022-10-27 09:00:47.882 +0700,2022-10-27 09:00:47.882 +0700,N,,
520,DKV1X,FM/01/01/01/74,2022-10-27 09:01:16.000,"202213000039",DKV113000003,"070.202202001213-FS",2022-09-14 10:00:00.000,2022-09-14 18:00:00.000,2022-10-27 09:01:16.632 +0700,2022-10-27 09:01:16.632 +0700,N,,
522,MM55X,FM/01/01/01/74,2022-10-27 09:03:02.000,"202213000044",MM5513000001,"070.202202001215-FS",2022-09-13 20:00:00.000,2022-09-16 09:00:00.000,2022-10-27 09:03:02.036 +0700,2022-10-27 09:03:02.036 +0700,N,,
523,MW11X,FM/01/01/01/74,2022-10-27 09:04:08.000,"202213000055",MW1113000002,"070.202202001216-FS",2022-09-16 07:00:00.000,2022-09-17 17:00:00.000,2022-10-27 09:04:08.308 +0700,2022-10-27 09:04:08.308 +0700,N,,
524,KI88X,FM/01/01/01/74,2022-10-27 09:04:10.000,"202213000054",KI8813000004,"070.202202001217-FS",2022-09-16 09:41:00.000,2022-09-16 23:34:00.000,2022-10-27 09:04:10.804 +0700,2022-10-27 09:04:10.804 +0700,N,,
525,MK33X,FM/01/01/01/74,2022-10-27 09:04:18.000,"202213000073",MK3313000002,"070.202202001218-FS",2022-09-18 17:59:00.000,2022-09-24 05:18:00.000,2022-10-27 09:04:18.601 +0700,2022-10-27 09:04:18.601 +0700,N,,
528,REDR,FM/01/01/01/74,2022-10-27 10:38:50.000,"202213000062",REDR13000001,"070.202202001221-FS",2022-09-13 21:00:00.000,2022-09-17 19:00:00.000,2022-10-27 10:38:54.185 +0700,2022-10-27 10:38:54.185 +0700,N,,
531,SKI3X,FM/01/01/01/74,2022-10-28 17:26:33.000,"202213000189",SKI313000008,"070.202202001222-FS",2022-10-04 08:00:00.000,2022-10-04 23:00:00.000,2022-10-28 17:26:35.979 +0700,2022-10-28 17:26:35.979 +0700,N,,
